bank_id,source_exam,original_number,status,reuse_ready,review_notes,domain,topic,task,task_label,approach,pattern,format,difficulty,stem,option_a,option_b,option_c,option_d,option_e,correct_index_zero_based,correct_letter,correct_answer_text,rationale,source_references,eco_reference,pmbok_reference,page_references,stimulus,case_id,raw_json
D1-001,Diagnostic 1,1,draft,,,people,Vision Alignment,P1,People Task 1 - Develop a common vision,hybrid,content,Scenario,Moderate-Hard,"A newly appointed executive directs the team to reprioritize the backlog toward features that generate revenue within the current fiscal year. The approved business case ties funding to a customer-retention benefit, and preliminary analysis indicates the requested features would reduce that benefit. The executive is a named sponsor on the project charter. What should the project manager do first?","Quantify the effect of the requested reprioritization on the approved benefits and success measures, and confirm which objective governance now treats as primary",Convene the original sponsors and the new executive to renegotiate the project's success criteria before the reprioritization is analyzed,Implement the direction as given and record the reduction in retention benefit as a new risk with the executive as risk owner,"Submit the reprioritization through integrated change control, since a change in feature priority alters scope and expected outcomes",,0,A,"Quantify the effect of the requested reprioritization on the approved benefits and success measures, and confirm which objective governance now treats as primary","The executive has authority, but the conflict is between two approved objectives. The project manager must first establish the benefit impact and which objective now governs. Renegotiating criteria, raising a change request, or logging a risk are all premature until that is known.",PMI-PMP-2026-ECO | P1 People Task 1 - Develop a common vision | pp. 7-8,PMI-PMP-2026-ECO | P1 People Task 1 - Develop a common vision | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Vision Alignment"",""a"":""hybrid"",""q"":""A newly appointed executive directs the team to reprioritize the backlog toward features that generate revenue within the current fiscal year. The approved business case ties funding to a customer-retention benefit, and preliminary analysis indicates the requested features would reduce that benefit. The executive is a named sponsor on the project charter. What should the project manager do first?"",""o"":[""Quantify the effect of the requested reprioritization on the approved benefits and success measures, and confirm which objective governance now treats as primary"",""Convene the original sponsors and the new executive to renegotiate the project's success criteria before the reprioritization is analyzed"",""Implement the direction as given and record the reduction in retention benefit as a new risk with the executive as risk owner"",""Submit the reprioritization through integrated change control, since a change in feature priority alters scope and expected outcomes""],""x"":0,""r"":""The executive has authority, but the conflict is between two approved objectives. The project manager must first establish the benefit impact and which objective now governs. Renegotiating criteria, raising a change request, or logging a risk are all premature until that is known."",""task"":""P1"",""taskLabel"":""People Task 1 - Develop a common vision"",""rule"":""Create shared understanding before optimizing local choices."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-002,Diagnostic 1,2,draft,,,people,Stakeholder Expectations,P5,People Task 5 - Align stakeholder expectations,hybrid,content,Scenario,Moderate-Hard,Three influential stakeholders each sponsor a different outcome for the same project. Available funding supports roughly one and a half of the three. All three outcomes are defensible against the business case. A joint alignment workshop was held last month and ended without agreement. What should the project manager do next?,"Allocate the available funding proportionally across the three outcomes so that each stakeholder receives a partial result, while documenting the assumptions and communicating the decision to affected stakeholders.",Prepare a value-based prioritization of the three outcomes against the business case and escalate the funding tradeoff to the body authorized to decide it,Deliver the outcome sponsored by the stakeholder with the greatest formal authority and manage the other two as candidate future phases,"Facilitate a second alignment workshop with an independent facilitator, since stakeholder consensus remains the preferred outcome, and document the agreed actions in the appropriate management plan.",,1,B,Prepare a value-based prioritization of the three outcomes against the business case and escalate the funding tradeoff to the body authorized to decide it,"Facilitation has already been attempted and failed. With the conflict outside the project manager's authority to resolve, the next step is to escalate the tradeoff with a value-based analysis, not to repeat the workshop or dilute funding across all three.",PMI-PMP-2026-ECO | P5 People Task 5 - Align stakeholder expectations | pp. 7-8,PMI-PMP-2026-ECO | P5 People Task 5 - Align stakeholder expectations | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Stakeholder Expectations"",""a"":""hybrid"",""q"":""Three influential stakeholders each sponsor a different outcome for the same project. Available funding supports roughly one and a half of the three. All three outcomes are defensible against the business case. A joint alignment workshop was held last month and ended without agreement. What should the project manager do next?"",""o"":[""Allocate the available funding proportionally across the three outcomes so that each stakeholder receives a partial result, while documenting the assumptions and communicating the decision to affected stakeholders."",""Prepare a value-based prioritization of the three outcomes against the business case and escalate the funding tradeoff to the body authorized to decide it"",""Deliver the outcome sponsored by the stakeholder with the greatest formal authority and manage the other two as candidate future phases"",""Facilitate a second alignment workshop with an independent facilitator, since stakeholder consensus remains the preferred outcome, and document the agreed actions in the appropriate management plan.""],""x"":1,""r"":""Facilitation has already been attempted and failed. With the conflict outside the project manager's authority to resolve, the next step is to escalate the tradeoff with a value-based analysis, not to repeat the workshop or dilute funding across all three."",""task"":""P5"",""taskLabel"":""People Task 5 - Align stakeholder expectations"",""rule"":""Align stakeholder expectations and decision rules before committing work."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-003,Diagnostic 1,3,draft,,,people,Conflict Management,P2,People Task 2 - Manage conflicts,predictive,content,Scenario,Moderate-Hard,"Two senior architects have proposed different technical approaches. Both satisfy the requirements and fit the budget. One increases long-term support complexity; the other increases transition risk at cutover. The disagreement has become personal, the team is taking sides, and the sponsor has asked the project manager to settle it before the next status meeting. What should the project manager do first?","Escalate both approaches and their tradeoffs to the sponsor, since the disagreement has become personal and neither architect will concede",Ask the architects to jointly develop a combined approach that mitigates both the support complexity and the transition risk,"Establish and apply agreed decision criteria with the architects and the affected operational stakeholders, and address the interpersonal conflict separately","Select the approach with the lower operational risk, since long-term supportability protects the benefits in the business case",,2,C,"Establish and apply agreed decision criteria with the architects and the affected operational stakeholders, and address the interpersonal conflict separately","Two viable options require a criteria-based decision, not a compromise design, a unilateral pick, or escalation. The behavioral conflict is a separate problem and should not drive the technical decision path.",PMI-PMP-2026-ECO | P2 People Task 2 - Manage conflicts | pp. 7-8,PMI-PMP-2026-ECO | P2 People Task 2 - Manage conflicts | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Conflict Management"",""a"":""predictive"",""q"":""Two senior architects have proposed different technical approaches. Both satisfy the requirements and fit the budget. One increases long-term support complexity; the other increases transition risk at cutover. The disagreement has become personal, the team is taking sides, and the sponsor has asked the project manager to settle it before the next status meeting. What should the project manager do first?"",""o"":[""Escalate both approaches and their tradeoffs to the sponsor, since the disagreement has become personal and neither architect will concede"",""Ask the architects to jointly develop a combined approach that mitigates both the support complexity and the transition risk"",""Establish and apply agreed decision criteria with the architects and the affected operational stakeholders, and address the interpersonal conflict separately"",""Select the approach with the lower operational risk, since long-term supportability protects the benefits in the business case""],""x"":2,""r"":""Two viable options require a criteria-based decision, not a compromise design, a unilateral pick, or escalation. The behavioral conflict is a separate problem and should not drive the technical decision path."",""task"":""P2"",""taskLabel"":""People Task 2 - Manage conflicts"",""rule"":""Use the appropriate conflict response: collaborate when time allows, decide within authority when time has run out, and escalate only when the decision exceeds the project manager role."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-004,Diagnostic 1,4,draft,,,people,Knowledge Transfer,P7,People Task 7 - Help ensure knowledge transfer,predictive,content,Scenario,Moderate-Hard,"A subject matter expert who is the only person able to configure a critical integration will leave the organization in three weeks. Configuration documentation exists and is current, but the expert's troubleshooting judgment has never been captured. A replacement has been requisitioned but not yet identified. Deployment is in ten weeks. What should the project manager do first?",Raise the departure as an issue and request that the resourcing process be expedited so shadowing can occur,"Extend the deployment date so that the replacement can be identified, onboarded, and able to shadow the expert before the departure",Ask the expert to spend the remaining three weeks recording detailed walkthroughs of the common troubleshooting scenarios and the judgment behind them,"Identify which knowledge is critical to deployment and to operations, then select transfer mechanisms that do not depend on the replacement arriving first",,3,D,"Identify which knowledge is critical to deployment and to operations, then select transfer mechanisms that do not depend on the replacement arriving first","The replacement may not arrive in time, so transfer cannot be built around that assumption. The project manager must first determine what knowledge is actually at risk. Selecting a mechanism, moving the date, or escalating staffing all precede the analysis that should drive them.",PMI-PMP-2026-ECO | P7 People Task 7 - Help ensure knowledge transfer | pp. 7-8,PMI-PMP-2026-ECO | P7 People Task 7 - Help ensure knowledge transfer | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Knowledge Transfer"",""a"":""predictive"",""q"":""A subject matter expert who is the only person able to configure a critical integration will leave the organization in three weeks. Configuration documentation exists and is current, but the expert's troubleshooting judgment has never been captured. A replacement has been requisitioned but not yet identified. Deployment is in ten weeks. What should the project manager do first?"",""o"":[""Raise the departure as an issue and request that the resourcing process be expedited so shadowing can occur"",""Extend the deployment date so that the replacement can be identified, onboarded, and able to shadow the expert before the departure"",""Ask the expert to spend the remaining three weeks recording detailed walkthroughs of the common troubleshooting scenarios and the judgment behind them"",""Identify which knowledge is critical to deployment and to operations, then select transfer mechanisms that do not depend on the replacement arriving first""],""x"":3,""r"":""The replacement may not arrive in time, so transfer cannot be built around that assumption. The project manager must first determine what knowledge is actually at risk. Selecting a mechanism, moving the date, or escalating staffing all precede the analysis that should drive them."",""task"":""P7"",""taskLabel"":""People Task 7 - Help ensure knowledge transfer"",""rule"":""Knowledge transfer must move usable know-how, not just documents."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-005,Diagnostic 1,5,draft,,,people,Communication Effectiveness,P8,People Task 8 - Plan and manage communication,hybrid,content,Scenario,Moderate-Hard,"Stakeholders receive every scheduled report on time, the PMO confirms the template is applied correctly, and the project manager has verified the reported data is accurate. Stakeholders nonetheless keep asking what is required of them and misstate project status in other forums. What should the project manager do first?","Identify the decisions each key stakeholder owns and the information those decisions require, then revise the communications approach accordingly",Compare the communications management plan against the stakeholder engagement matrix to confirm each stakeholder is receiving the artifacts assigned to them,Add a decisions-required section to the existing report and monitor whether stakeholder questions decline over the next two reporting cycles,Raise an issue with the PMO that the mandated template does not support stakeholder decision needs and request a template exception,,0,A,"Identify the decisions each key stakeholder owns and the information those decisions require, then revise the communications approach accordingly","Distribution and accuracy are already confirmed, so the failure is in usefulness. The project manager must first understand what decisions the communication is meant to support. Adding a section, re-checking distribution, or contesting the template all act before the need is understood.",PMI-PMP-2026-ECO | P8 People Task 8 - Plan and manage communication | pp. 7-8,PMI-PMP-2026-ECO | P8 People Task 8 - Plan and manage communication | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Communication Effectiveness"",""a"":""hybrid"",""q"":""Stakeholders receive every scheduled report on time, the PMO confirms the template is applied correctly, and the project manager has verified the reported data is accurate. Stakeholders nonetheless keep asking what is required of them and misstate project status in other forums. What should the project manager do first?"",""o"":[""Identify the decisions each key stakeholder owns and the information those decisions require, then revise the communications approach accordingly"",""Compare the communications management plan against the stakeholder engagement matrix to confirm each stakeholder is receiving the artifacts assigned to them"",""Add a decisions-required section to the existing report and monitor whether stakeholder questions decline over the next two reporting cycles"",""Raise an issue with the PMO that the mandated template does not support stakeholder decision needs and request a template exception""],""x"":0,""r"":""Distribution and accuracy are already confirmed, so the failure is in usefulness. The project manager must first understand what decisions the communication is meant to support. Adding a section, re-checking distribution, or contesting the template all act before the need is understood."",""task"":""P8"",""taskLabel"":""People Task 8 - Plan and manage communication"",""rule"":""Communication is effective only when it supports the receiver\\u2019s decision need."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-006,Diagnostic 1,6,draft,,,people,Team Performance,P3,People Task 3 - Lead the project team,adaptive,content,Scenario,Moderate-Hard,"An adaptive team has met every sprint commitment for four iterations, but escaped defects have doubled. In one-on-one conversations, several developers say they no longer raise design objections because doing so puts the sprint commitment at risk. The product owner is satisfied with delivery and the retrospectives report no impediments. What should the project manager do first?","Add a definition-of-done criterion requiring design review sign-off before a story can be accepted, so that design concerns must be raised before work is completed","Make the defect trend and its link to suppressed design disagreement visible to the team, and facilitate revised working agreements that protect technical dissent",Reduce the next sprint's committed scope to create capacity for defect remediation and design discussion,"Raise the escaped-defect trend to governance, since delivered work is not meeting quality expectations",,1,B,"Make the defect trend and its link to suppressed design disagreement visible to the team, and facilitate revised working agreements that protect technical dissent","The defects are a symptom of a team norm that punishes dissent, and the retrospective is not surfacing it. Process controls, scope relief, and escalation all treat the symptom while leaving the cause in place.",PMI-PMP-2026-ECO | P3 People Task 3 - Lead the project team | pp. 7-8,PMI-PMP-2026-ECO | P3 People Task 3 - Lead the project team | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Team Performance"",""a"":""adaptive"",""q"":""An adaptive team has met every sprint commitment for four iterations, but escaped defects have doubled. In one-on-one conversations, several developers say they no longer raise design objections because doing so puts the sprint commitment at risk. The product owner is satisfied with delivery and the retrospectives report no impediments. What should the project manager do first?"",""o"":[""Add a definition-of-done criterion requiring design review sign-off before a story can be accepted, so that design concerns must be raised before work is completed"",""Make the defect trend and its link to suppressed design disagreement visible to the team, and facilitate revised working agreements that protect technical dissent"",""Reduce the next sprint's committed scope to create capacity for defect remediation and design discussion"",""Raise the escaped-defect trend to governance, since delivered work is not meeting quality expectations""],""x"":1,""r"":""The defects are a symptom of a team norm that punishes dissent, and the retrospective is not surfacing it. Process controls, scope relief, and escalation all treat the symptom while leaving the cause in place."",""task"":""P3"",""taskLabel"":""People Task 3 - Lead the project team"",""rule"":""Lead the people before managing the work: support, empower, coach, clarify, and build capability."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-007,Diagnostic 1,7,draft,,,people,Stakeholder Engagement,P4,People Task 4 - Engage stakeholders,predictive,content,Scenario,Moderate-Hard,"A regulator with approval authority over the launch raises a concern that the current design may not satisfy a reporting rule. The regulator has not issued a formal finding. The sponsor considers the concern speculative, notes that a formal finding could take months, and directs the team to continue design work while leadership resolves it. What should the project manager do first?","Continue the design work as the sponsor has directed, and log the regulator's concern in the risk register with the sponsor as the named risk owner","Ask the regulator to confirm in writing that the concern is not a formal finding, so that the team can continue the design work on a documented basis","Assess which design work is exposed if the concern is upheld, and take that exposure and the sponsor's direction to the body authorized to accept the risk",Halt all design work until the regulator issues a formal finding on the reporting rule,,2,C,"Assess which design work is exposed if the concern is upheld, and take that exposure and the sponsor's direction to the body authorized to accept the risk","A credible concern from an approving authority creates exposure the sponsor cannot absorb informally. The project manager quantifies the exposure and puts the acceptance decision where it belongs. Proceeding on a logged risk, seeking a written disclaimer, or halting everything are each disproportionate or evasive.",PMI-PMP-2026-ECO | P4 People Task 4 - Engage stakeholders | pp. 7-8,PMI-PMP-2026-ECO | P4 People Task 4 - Engage stakeholders | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Stakeholder Engagement"",""a"":""predictive"",""q"":""A regulator with approval authority over the launch raises a concern that the current design may not satisfy a reporting rule. The regulator has not issued a formal finding. The sponsor considers the concern speculative, notes that a formal finding could take months, and directs the team to continue design work while leadership resolves it. What should the project manager do first?"",""o"":[""Continue the design work as the sponsor has directed, and log the regulator's concern in the risk register with the sponsor as the named risk owner"",""Ask the regulator to confirm in writing that the concern is not a formal finding, so that the team can continue the design work on a documented basis"",""Assess which design work is exposed if the concern is upheld, and take that exposure and the sponsor's direction to the body authorized to accept the risk"",""Halt all design work until the regulator issues a formal finding on the reporting rule""],""x"":2,""r"":""A credible concern from an approving authority creates exposure the sponsor cannot absorb informally. The project manager quantifies the exposure and puts the acceptance decision where it belongs. Proceeding on a logged risk, seeking a written disclaimer, or halting everything are each disproportionate or evasive."",""task"":""P4"",""taskLabel"":""People Task 4 - Engage stakeholders"",""rule"":""Engage stakeholders based on interest, power, influence, resistance, and impact."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-008,Diagnostic 1,8,draft,,,people,Executive Alignment,P5,People Task 5 - Align stakeholder expectations,hybrid,content,Scenario,Moderate-Hard,"Marketing has publicly committed to a launch in six weeks. Operations will not accept handover without a fully trained support model, which requires eight weeks. Finance has refused all overtime. Each commitment was made in a separate meeting with the sponsor, and each group believes its position is already approved. What should the project manager do first?",Determine which commitment most directly supports the benefits in the business case and plan the project to that commitment,Present the three commitments and their mutual incompatibility to the sponsor and request a decision on which constraint gives way,"Deliver a reduced launch scope in six weeks that operations can support with existing staff, and defer the remaining scope to a second release","Convene the three groups to expose the conflict, establish the launch decision criteria and acceptable tradeoffs, and escalate only what they cannot resolve",,3,D,"Convene the three groups to expose the conflict, establish the launch decision criteria and acceptable tradeoffs, and escalate only what they cannot resolve","None of the three groups yet knows the others' positions are incompatible. Alignment on shared tradeoff criteria comes before a solution is proposed, before escalation, and before the project manager selects a winner.",PMI-PMP-2026-ECO | P5 People Task 5 - Align stakeholder expectations | pp. 7-8,PMI-PMP-2026-ECO | P5 People Task 5 - Align stakeholder expectations | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Executive Alignment"",""a"":""hybrid"",""q"":""Marketing has publicly committed to a launch in six weeks. Operations will not accept handover without a fully trained support model, which requires eight weeks. Finance has refused all overtime. Each commitment was made in a separate meeting with the sponsor, and each group believes its position is already approved. What should the project manager do first?"",""o"":[""Determine which commitment most directly supports the benefits in the business case and plan the project to that commitment"",""Present the three commitments and their mutual incompatibility to the sponsor and request a decision on which constraint gives way"",""Deliver a reduced launch scope in six weeks that operations can support with existing staff, and defer the remaining scope to a second release"",""Convene the three groups to expose the conflict, establish the launch decision criteria and acceptable tradeoffs, and escalate only what they cannot resolve""],""x"":3,""r"":""None of the three groups yet knows the others' positions are incompatible. Alignment on shared tradeoff criteria comes before a solution is proposed, before escalation, and before the project manager selects a winner."",""task"":""P5"",""taskLabel"":""People Task 5 - Align stakeholder expectations"",""rule"":""Align stakeholder expectations and decision rules before committing work."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-009,Diagnostic 1,9,draft,,,people,Customer Feedback,P6,People Task 6 - Manage stakeholder expectations,adaptive,content,Scenario,Moderate-Hard,A customer representative approves every sprint review and then relays dissatisfaction to the sponsor afterward. The sponsor has now asked the project manager why accepted increments are being described as unsatisfactory. The product owner believes the representative lacks acceptance authority and is being used politically by another department. What should the project manager do first?,"Establish explicit acceptance criteria and decision rights covering who accepts increments and how dissatisfaction is raised, and confirm them with the representative and the sponsor","Update the stakeholder register to reflect the representative's actual influence, and raise the planned engagement level so that dissatisfaction surfaces before it reaches the sponsor",Ask the sponsor to route all customer feedback through the product owner so that a single channel exists,Invite the sponsor to attend sprint reviews so that acceptance and dissatisfaction are observed in the same forum,,0,A,"Establish explicit acceptance criteria and decision rights covering who accepts increments and how dissatisfaction is raised, and confirm them with the representative and the sponsor","The root problem is that acceptance and feedback rights are undefined, which is what allows approval and dissatisfaction to coexist. Redirecting the channel, adding an observer, or updating the register all leave the ambiguity intact.",PMI-PMP-2026-ECO | P6 People Task 6 - Manage stakeholder expectations | pp. 7-8,PMI-PMP-2026-ECO | P6 People Task 6 - Manage stakeholder expectations | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Customer Feedback"",""a"":""adaptive"",""q"":""A customer representative approves every sprint review and then relays dissatisfaction to the sponsor afterward. The sponsor has now asked the project manager why accepted increments are being described as unsatisfactory. The product owner believes the representative lacks acceptance authority and is being used politically by another department. What should the project manager do first?"",""o"":[""Establish explicit acceptance criteria and decision rights covering who accepts increments and how dissatisfaction is raised, and confirm them with the representative and the sponsor"",""Update the stakeholder register to reflect the representative's actual influence, and raise the planned engagement level so that dissatisfaction surfaces before it reaches the sponsor"",""Ask the sponsor to route all customer feedback through the product owner so that a single channel exists"",""Invite the sponsor to attend sprint reviews so that acceptance and dissatisfaction are observed in the same forum""],""x"":0,""r"":""The root problem is that acceptance and feedback rights are undefined, which is what allows approval and dissatisfaction to coexist. Redirecting the channel, adding an observer, or updating the register all leave the ambiguity intact."",""task"":""P6"",""taskLabel"":""People Task 6 - Manage stakeholder expectations"",""rule"":""Manage expectations continuously through feedback, satisfaction monitoring, and correction."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-010,Diagnostic 1,10,draft,,,people,Leadership Style,P3,People Task 3 - Lead the project team,predictive,content,Scenario,Moderate-Hard,"A newly formed team is scheduled to begin a safety-critical work package this week. Several members have not yet demonstrated competence in the required control procedures, and an incorrect decision could create regulatory exposure. The team asks to manage the work autonomously. What should the project manager do?",Seek sponsor approval for a temporary authority matrix that delegates routine decisions to the team,"Use a directive coaching approach with mandatory review gates, then increase delegation as competence is demonstrated","Conduct a risk workshop, retain the current leadership approach, and monitor the first work package closely",Assign an experienced mentor and allow the team to self-organize within the existing project controls,,1,B,"Use a directive coaching approach with mandatory review gates, then increase delegation as competence is demonstrated","The team has not demonstrated minimum competence for safety-critical work. The project manager should provide clear direction and mandatory oversight now, then progressively delegate as readiness is demonstrated.",PMI-PMP-2026-ECO | P3 People Task 3 - Lead the project team | pp. 7-8,PMI-PMP-2026-ECO | P3 People Task 3 - Lead the project team | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Leadership Style"",""a"":""predictive"",""q"":""A newly formed team is scheduled to begin a safety-critical work package this week. Several members have not yet demonstrated competence in the required control procedures, and an incorrect decision could create regulatory exposure. The team asks to manage the work autonomously. What should the project manager do?"",""o"":[""Seek sponsor approval for a temporary authority matrix that delegates routine decisions to the team"",""Use a directive coaching approach with mandatory review gates, then increase delegation as competence is demonstrated"",""Conduct a risk workshop, retain the current leadership approach, and monitor the first work package closely"",""Assign an experienced mentor and allow the team to self-organize within the existing project controls""],""x"":1,""r"":""The team has not demonstrated minimum competence for safety-critical work. The project manager should provide clear direction and mandatory oversight now, then progressively delegate as readiness is demonstrated."",""task"":""P3"",""taskLabel"":""People Task 3 - Lead the project team"",""rule"":""Lead the people before managing the work: support, empower, coach, clarify, and build capability."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
